year;country;GrossSalesValue;NetSalesValue;Discount;COGS;GrossMargin;BestProductLine
2003;Australia;252438.92;226808.03;25630.89;133388.49;93419.54;Vintage Cars
2003;Austria;86808.24;78079.2;8729.04;48941.92;29137.28;Classic Cars
2003;Belgium;3053.58;2755.75;297.82;1381.84;1373.91;Trains
2003;Canada;57114.11;53437.45;3676.66;30400.97;23036.47;Classic Cars
2003;Denmark;98686.98;90123.67;8563.31;54796.67;35327.0;Classic Cars
2003;Finland;109894.67;100042.38;9852.28;60318.75;39723.63;Trucks and Buses
2003;France;318643.5;283366.39;35277.11;167135.75;116230.64;Classic Cars
2003;Germany;69110.95;62639.29;6471.65;36541.94;26097.35;Classic Cars
2003;Hong Kong;50335.06;45480.79;4854.27;28612.11;16868.68;Planes
2003;Italy;160623.92;146146.15;14477.77;87539.43;58606.72;Planes
2003;New Zealand;88049.98;78141.08;9908.89;48426.32;29714.76;Classic Cars
2003;Norway;58265.72;51710.33;6555.39;32212.88;19497.45;Trucks and Buses
2003;Norway  ;136746.87;121823.34;14923.53;74147.54;47675.79;Classic Cars
2003;Philippines;78634.16;71645.46;6988.69;42331.24;29314.22;Classic Cars
2003;Singapore;166744.22;150123.15;16621.07;91184.73;58938.42;Classic Cars
2003;Spain;407893.87;369488.73;38405.14;224841.3;144647.43;Classic Cars
2003;Sweden;58728.95;51842.03;6886.92;32029.59;19812.44;Ships
2003;UK;179581.36;161494.57;18086.79;98094.92;63399.65;Classic Cars
2003;USA;1305488.56;1172200.59;133287.97;704399.06;467801.53;Classic Cars
